 1, 404, 404, 374, 6, 4.216, 0.80
 -6, 402, 401, 387, 6, 4.236, 0.50
 4, 403, 402, 375, 7, 4.228, 0.50
 1, 404, 404, 374, 6, 4.216, 0.80
 -6, 402, 401, 387, 6, 4.236, 0.50
 4, 403, 402, 375, 7, 4.228, 0.50
 1, 404, 404, 374, 6, 4.216, 0.80
 -68, 402, 402, 331, 5, 4.248, 0.70
 -32, 401, 400, 364, 6, 4.272, 0.70
 -34, 403, 402, 380, 6, 4.244, 0.70
 -4, 401, 400, 368, 7, 4.244, 0.70
 -25, 403, 403, 388, 7, 4.240, 0.60
 12, 402, 402, 369, 6, 4.256, 0.60
 3, 403, 402, 381, 7, 4.260, 0.60
 2, 403, 402, 382, 5, 4.240, 0.50
 8, 402, 402, 379, 6, 4.244, 0.60
 -25, 403, 402, 395, 6, 4.248, 0.70
 -26, 401, 401, 394, 5, 4.244, 0.70
 6, 403, 402, 379, 6, 4.240, 0.90
 -21, 401, 401, 356, 6, 4.248, 0.60
 -10, 402, 401, 363, 6, 4.252, 0.70
 -23, 401, 401, 378, 6, 4.248, 0.60
 -15, 402, 403, 381, 7, 4.264, 0.70
 15, 401, 401, 366, 7, 4.264, 0.80
 5, 401, 401, 382, 7, 4.272, 0.80
 -21, 400, 399, 392, 6, 4.260, 0.60
 -19, 402, 401, 388, 7, 4.252, 0.50
 0, 401, 401, 376, 8, 4.256, 0.60
 -7, 401, 400, 383, 7, 4.272, 0.70
 -4, 399, 400, 381, 7, 4.260, 0.60
 15, 400, 400, 334, 0, 4.272, 0.80
 -16, 401, 401, 371, 0, 4.256, 0.70
 -34, 402, 401, 382, 0, 4.272, 0.70
 -16, 400, 400, 376, 0, 4.268, 0.60
 -7, 399, 399, 372, 0, 4.292, 0.70
 -7, 401, 400, 370, 0, 4.284, 0.70
 13, 401, 400, 364, 0, 4.272, 0.40
 17, 401, 401, 367, 0, 4.260, 0.70
 14, 401, 401, 373, 0, 4.260, 0.60
 0, 401, 400, 375, 0, 4.272, 0.60
 11, 401, 400, 381, 0, 4.284, 0.60
 8, 401, 401, 335, 0, 4.256, 0.60
 -18, 401, 401, 373, 0, 4.276, 0.60
 -28, 401, 401, 378, 0, 4.260, 0.70
 -5, 400, 399, 366, 0, 4.276, 0.60
 3, 401, 400, 363, 0, 4.260, 0.60
 -1, 401, 401, 376, 0, 4.288, 0.60
 -16, 401, 401, 385, 0, 4.268, 0.60
 -19, 401, 400, 392, 0, 4.284, 0.50
 -17, 399, 399, 393, 0, 4.272, 0.80
 -11, 401, 400, 393, 0, 4.272, 0.70
 -13, 400, 400, 393, 0, 4.260, 0.90
 -31, 401, 401, 356, 0, 4.272, 0.50
 -22, 401, 401, 367, 0, 4.252, 0.70
 -2, 400, 401, 364, 0, 4.264, 0.40
 1, 400, 400, 359, 0, 4.272, 0.70
 6, 401, 400, 365, 0, 4.276, 0.60
 5, 401, 400, 373, 0, 4.284, 0.60
 -4, 400, 400, 379, 0, 4.280, 0.70
 -18, 399, 399, 380, 0, 4.268, 0.80
 -19, 401, 400, 386, 0, 4.284, 0.90
 -39, 401, 400, 390, 0, 4.268, 0.80
 -45, 402, 401, 385, 0, 4.280, 0.50
 8, 399, 399, 333, 0, 4.272, 0.40
 1, 401, 400, 367, 0, 4.284, 0.50
 -18, 401, 401, 390, 0, 4.272, 0.80
 -32, 399, 399, 394, 0, 4.268, 0.50
